,Artist,Born,Born In,Years Active,Founded In,Died
0,Gus Dapperton,11 March 1997 (age 24),,,,
0,YEEK,1991 (age 30),,,,
0,SAYGRACE,8 April 1997 (age 24),"Brisbane, Queensland, Australia",,,
0,Black Sabbath,,,1969 – 2017 (48 years),"Birmingham, West Midlands, England, United Kingdom",
0,Hachiku,,"Detroit, Wayne County, Michigan, United States",,,
0,Radiohead,,,1991 – present (30 years),"Abingdon-on-Thames, Oxfordshire, England, United Kingdom",
0,Øfdream,,,,,June 2019 (aged None)
0,James Blake,26 September 1988 (age 32),"Enfield, London, England, United Kingdom",,,
0,Blood Orange,23 December 1985 (age 35),"Ilford, Redbridge, London, England, United Kingdom",,,
0,Verzache,11 December 1997 (age 23),,,,
0,Clairo,18 August 1998 (age 23),"Atlanta, Fulton County, Georgia, United States",,,
0,Omar Apollo,20 May 1997 (age 24),"Hobart, Lake County, Indiana, United States",,,
0,Moses Sumney,19 May 1991 (age 30),"San Bernardino, San Bernardino County, California, United States",,,
0,XXXTENTACION,23 January 1998,"Plantation, Broward County, Florida, United States",,,18 June 2018 (aged 20)
0,Dijon,,"Washington, United States",,,
0,Odie,23 December 1996 (age 24),"Montreal, Montreal, Quebec, Canada",,,
0,Tierra Whack,11 August 1995 (age 26),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,Giveon,21 February 1990 (age 31),"Long Beach, Los Angeles County, California, United States",,,
0,Labrinth,4 January 1989 (age 32),"Hackney, London, England, United Kingdom",,,
0,Travis Scott,30 April 1992 (age 29),"Houston, Harris County, Texas, United States",,,
0,Raveena,1992 (age 29),"Massachusetts, United States",,,
0,Jhené Aiko,16 March 1988 (age 33),"Los Angeles, Los Angeles County, California, United States",,,
0,Jorja Smith,11 June 1997 (age 24),"London, England, United Kingdom",,,
0,Majid Jordan,,,2011 – present (10 years),"Toronto, Ontario, Canada",
0,BROCKHAMPTON,,,2015 – present (6 years),"San Marcos, Hays County, Texas, United States",
0,Kanye West,8 June 1977 (age 44),"Atlanta, Fulton County, Georgia, United States",,,
0,Don Toliver,12 June 1994 (age 27),"Houston, Harris County, Texas, United States",,,
0,Frank Ocean,28 October 1987 (age 33),"Long Beach, Los Angeles County, California, United States",,,
0,The Weeknd,16 February 1990 (age 31),"Scarborough, Toronto, Ontario, Canada",,,
0,Daft Punk,,,1993 – 2021 (28 years),"Paris, Île-de-France, France",
0,Home,,,2005 – present (16 years),,
0,Chris Zabriskie,10 March 1982 (age 39),"Olympia, Thurston County, Washington, United States",,,
0,LEMMiNO,3 July 2011 (age 10),,,,
0,Rival Consoles,10 November 1985 (age 35),"Leicester, England, United Kingdom",,,
0,Mount Kimbie,,,2008 – present (13 years),"London, England, United Kingdom",
0,Tame Impala,,,2007 – present (14 years),"Perth, Western Australia, Australia",
0,SZA,8 November 1990 (age 30),"St. Louis, Missouri, United States",,,
0,"Tyler, The Creator",6 March 1991 (age 30),"Los Angeles, Los Angeles County, California, United States",,,
0,Brent Faiyaz,19 September 1995 (age 26),"Columbia, Howard County, Maryland, United States",,,
0,DJ Khaled,26 November 1975 (age 45),"New Orleans, Louisiana, United States",,,
0,Meek Mill,6 May 1987 (age 34),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,Roy Woods,18 April 1996 (age 25),"Ontario, Canada",,,
0,KnuckS,12 November 1994 (age 26),"Kilburn, Brent, London, England, United Kingdom",,,
0,Doja Cat,21 October 1995 (age 25),"Los Angeles, Los Angeles County, California, United States",,,
0,Nicki Minaj,8 December 1982 (age 38),"Port of Spain, Trinidad, Trinidad and Tobago",,,
0,Bon Iver,,,2006 – present (15 years),"Eau Claire, Chippewa County, Wisconsin, United States",
0,Lil Nas X,9 April 1999 (age 22),"Georgia, United States",,,
0,Skepta,19 September 1982 (age 39),"Tottenham, Haringey, London, England, United Kingdom",,,
0,A$AP Rocky,3 October 1988 (age 32),"Harlem, Manhattan, New York, New York, United States",,,
0,Billie Eilish,18 December 2001 (age 19),"Los Angeles, Los Angeles County, California, United States",,,
0,Gesaffelstein,13 June 1985 (age 36),"Lyon, Rhône, Auvergne-Rhône-Alpes, France",,,
0,NAV,3 November 1989 (age 31),"Toronto, Ontario, Canada",,,
0,Oneohtrix Point Never,25 July 1982 (age 39),"Wayland, Middlesex County, Massachusetts, United States",,,
0,Kero Kero Bonito,,,2011 – present (10 years),"Bromley, London, England, United Kingdom",
0,Dope Lemon,,,2016 – present (5 years),,
0,Kevin Morby,2 April 1988 (age 33),"Lubbock, Lubbock County, Texas, United States",,,
0,James Vincent McMorrow,14 January 1983 (age 38),"Dublin, County Dublin, Leinster, Ireland",,,
0,Damien Jurado,12 November 1972 (age 48),"Seattle, King County, Washington, United States",,,
0,YoungBoy Never Broke Again,20 October 1999 (age 21),"Baton Rouge, East Baton Rouge Parish, Louisiana, United States",,,
0,iann dior,25 March 1998 (age 23),"Arecibo, Puerto Rico",,,
0,Mac Miller,19 January 1992,"Pittsburgh, Allegheny County, Pennsylvania, United States",,,7 September 2018 (aged 26)
0,Calvin Harris,17 January 1984 (age 37),"Dumfries and Galloway, Scotland, United Kingdom",,,
0,Ariana Grande,26 June 1993 (age 28),"Boca Raton, Palm Beach County, Florida, United States",,,
0,PARTYNEXTDOOR,3 July 1993 (age 28),"Mississauga, Regional Municipality of Peel, Ontario, Canada",,,
0,Aphex Twin,18 August 1971 (age 50),"Limerick, County Limerick, Munster, Ireland",,,
0,Kehlani,24 April 1995 (age 26),"Oakland, Alameda County, California, United States",,,
0,Isaiah Rashad,16 May 1991 (age 30),"Chattanooga, Hamilton County, Tennessee, United States",,,
0,Bas,27 May 1987 (age 34),"Paris, Île-de-France, France",,,
0,Vince Staples,2 July 1993 (age 28),"Long Beach, Los Angeles County, California, United States",,,
0,Little Simz,23 February 1994 (age 27),"Islington, London, England, United Kingdom",,,
0,Maxo Kream,29 March 1990 (age 31),"Houston, Harris County, Texas, United States",,,
0,Snail Mail,,"Baltimore, Maryland, United States",,,
0,Injury Reserve,,,2014 – present (7 years),"Tempe, Maricopa County, Arizona, United States",
0,Jaden,8 July 1998 (age 23),"Malibu, Los Angeles County, California, United States",,,
0,Childish Gambino,25 September 1983 (age 37),"Edwards Air Force Base, Kern County, California, United States",,,
0,Harry Styles,1 February 1994 (age 27),"Redditch, Worcestershire, England, United Kingdom",,,
0,Young Thug,16 August 1991 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,Quavo,2 April 1991 (age 30),"Lawrenceville, Gwinnett County, Georgia, United States",,,
0,Queen,,,1970 – present (51 years),"London, England, United Kingdom",
0,The Marvelettes,,,1960 – 1972 (12 years),"Inkster, Wayne County, Michigan, United States",
0,The Rolling Stones,,,1962 – present (59 years),"London, England, United Kingdom",
0,Elton John,25 March 1947 (age 74),"Pinner, Harrow, London, England, United Kingdom",,,
0,The Beatles,,,1957 – 1970 (13 years),"Liverpool, Merseyside, England, United Kingdom",
0,Jai Paul,,"Rayners Lane, Harrow, London, England, United Kingdom",,,
